product_id,productSKU,sku,product_name,Member_Price,Regular_Price,ratings,number_of_reviews,lifeStage,optionKey,has_member_price,name,product_category,brand_filter,activity_level,size,life_stage,flavour,australia_made,nutrition_grade,weight_control,member_price,hasEndDate,breed,health_benefits,on_sale
150528,nexgard-spectra-30kg-dog-flea-tick-&-worm-chew,,NexGard Spectra for Dogs 15.1 - 30kg,,161.99,N/A,N/A,,,,,,,,,,,,,,,,,,
115260,black-hawk-lamb-&-rice-adult-dog-food,127959,Black Hawk Lamb And Rice Adult Dog Food,$129.99,$171.99,N/A,N/A,Adult,109329,True,Black Hawk Lamb And Rice Adult Dog Food - 20kg,Dry Food,Black Hawk,High Activity,20kg,Adult,Lamb,No,Premium,No,Member price,False,,,
115260,black-hawk-lamb-&-rice-adult-dog-food,,Black Hawk Lamb And Rice Adult Dog Food,,171.99,N/A,N/A,Adult,,,,,,,,,,,,,,,,,
121772,139850,,Simparica Trio 20.1-40kg Dog Flea Tick & Worm Chew 6 Pack,,155.99,100%,1,All,,,,,,,,,,,,,,,,,
150510,nexgard-spectra-15kg-dog-flea-tick-&-worm-chew,,NexGard Spectra for Dogs 7.6 - 15kg,,149.99,N/A,N/A,,,,,,,,,,,,,,,,,,
150504,nexgard-spectra-60kg-dog-flea-tick-&-worm-chew,,NexGard Spectra for Dogs 30.1kg - 60kg,,172.99,N/A,N/A,,,,,,,,,,,,,,,,,,
63051,30299,,Royal Canin Maxi Adult Dog Food - 15kg,,184.99,80%,3,Adult,,,,,,,,,,,,,,,,,
115413,black-hawk-chicken-&-rice-adult-dog-food,127958,Black Hawk Chicken And Rice Adult Dog Food,$129.99,$171.99,100%,1,Adult,109581,True,Black Hawk Chicken And Rice Adult Dog Food - 20kg,Dry Food,Black Hawk,,20kg,Adult,Chicken,No,Premium,No,Member price,False,,,
115413,black-hawk-chicken-&-rice-adult-dog-food,127954,Black Hawk Chicken And Rice Adult Dog Food,$36.99,$50.99,100%,1,Adult,109575,True,Black Hawk Chicken And Rice Adult Dog Food - 3kg,Dry Food,Black Hawk,,3kg,Adult,Chicken,No,Premium,No,Member price,False,,,
115413,black-hawk-chicken-&-rice-adult-dog-food,501599,Black Hawk Chicken And Rice Adult Dog Food,$102.99,$121.99,100%,1,Adult,109572,True,Black Hawk Chicken And Rice Adult Dog Food 10kg,Dry Food,Black Hawk,,10kg,Adult,Chicken,No,Premium,No,Member price,False,,,
112734,royal-canin-labrador-adult-dog-food,29328,Royal Canin Labrador Dog Food,$40.73,$53.99,N/A,N/A,Adult:Senior,62448,True,Royal Canin Labrador Dog Food 3kg,Dry Food,ROYAL CANIN,,3kg,"Adult, Senior",Chicken,No,Superior,No,Member price,False,Labrador Retriever,,
112734,royal-canin-labrador-adult-dog-food,30327,Royal Canin Labrador Dog Food,$102.99,$162.99,N/A,N/A,Adult:Senior,62985,True,Royal Canin Labrador Dog Food 12kg,Dry Food,ROYAL CANIN,,12kg,"Adult, Senior",Chicken,No,Superior,No,Member price,False,Labrador Retriever,,
150507,nexgard-spectra-7.5kg-dog-flea-tick-&-worm-chew,,NexGard Spectra for Dogs 3.6 - 7.5kg,,139.99,N/A,N/A,,,,,,,,,,,,,,,,,,
81420,137418,,Leaps & Bounds Kangaroo & Vegetable Large Breed Adult Dog Food 15Kg,,86.99,N/A,N/A,Adult,,,,,,,,,,,,,,,,,
113391,royal-canin-maxi-breed-puppy-food,30318,Royal Canin Maxi Breed Puppy Food,$133.13,$190.99,N/A,N/A,Puppy,63624,True,Royal Canin Maxi Puppy Dog Food 15kg,Dry Food,ROYAL CANIN,,15kg,Puppy,Chicken,No,Superior,No,Member price,False,"Giant, Large",Growth Support,Sale
113391,royal-canin-maxi-breed-puppy-food,29321,Royal Canin Maxi Breed Puppy Food,$59.80,$70.99,N/A,N/A,Puppy,63111,True,Royal Canin Maxi Puppy Dog Food 4kg,Dry Food,ROYAL CANIN,,4kg,Puppy,Chicken,No,Superior,No,Member price,False,Large,Growth Support,Sale
113391,royal-canin-maxi-breed-puppy-food,140248,Royal Canin Maxi Breed Puppy Food,$18.69,$22.99,N/A,N/A,Puppy,123852,True,Royal Canin Maxi Breed Puppy Food 1kg,Dry Food,ROYAL CANIN,,1kg,Puppy,Chicken,No,Superior,No,Member price,False,Large,Healthy Development,Sale
115647,royal-canin-medium-breed-adult-dog-food,29371,Royal Canin Medium Adult Dog Food,$131.25,$184.99,N/A,N/A,Adult,63474,True,Royal Canin Medium Adult Dog Food 15kg,Dry Food,ROYAL CANIN,,15kg,Adult,Chicken,No,Superior,No,Member price,False,Medium,,
115647,royal-canin-medium-breed-adult-dog-food,29358,Royal Canin Medium Adult Dog Food,$54.20,$68.99,N/A,N/A,Adult,63435,True,Royal Canin Medium Adult Dog Food 4kg,Dry Food,ROYAL CANIN,,4kg,Adult,Chicken,No,Superior,No,Member price,False,Medium,,
112530,royal-canin-mini-adult-dog-food,29315,Royal Canin Mini Adult Dog Food,$30.11,$43.99,100%,10,Adult,82428,True,Royal Canin Mini Adult Dog Food - 2kg,Dry Food,ROYAL CANIN,,2kg,Adult,Chicken,No,Superior,No,Member price,False,Small,Complete Health,
112530,royal-canin-mini-adult-dog-food,30311,Royal Canin Mini Adult Dog Food,$87.44,$119.99,100%,10,Adult,81636,True,Royal Canin Mini Adult Dog Food - 8kg,Dry Food,ROYAL CANIN,,8kg,Adult,Chicken,No,Superior,No,Member price,False,"Small, Toy",,
112530,royal-canin-mini-adult-dog-food,140222,Royal Canin Mini Adult Dog Food,$52.65,$70.99,100%,10,Adult,128991,True,Royal Canin Mini Adult Dog Food 4kg,Dry Food,ROYAL CANIN,,4kg,Adult,Chicken,No,Superior,No,Member price,False,Small,,
112530,royal-canin-mini-adult-dog-food,140245,Royal Canin Mini Adult Dog Food,$17.09,$18.99,100%,10,Adult,124404,True,Royal Canin Mini Adult Dog Food 800g,Dry Food,ROYAL CANIN,,800g,Adult,Chicken,No,Superior,No,Member price,False,Small,,
121766,139848,,Simparica Trio 5.1-10kg Dog Flea Tick & Worm Chew 6 Pack,,133.99,100%,1,All,,,,,,,,,,,,,,,,,
121769,139849,,Simparica Trio 10.1-20kg Dog Flea Tick & Worm Chew 6 Pack,,146.99,N/A,N/A,All,,,,,,,,,,,,,,,,,
75669,131678,,Bravecto Chew for Large Dogs 3 month pack - 20 to 40kg,,79.99,100%,2,All,,,,,,,,,,,,,,,,,
116571,132429,,Black Hawk Large Breed Adult Formula Chicken & Rice 20kg,,186.99,80%,1,Adult,,,,,,,,,,,,,,,,,
90741,136234,,Wahl Max 50 Rotary Dog Clipper,,259.99,100%,4,,,,,,,,,,,,,,,,,,
160281,142367,,Wahl Showpro Clipper & Trimmer Combo Dog Clipper,,99.99,N/A,N/A,,,,,,,,,,,,,,,,,,
111105,black-hawk-fish-&-potato-adult-dog-food,127956,Black Hawk Fish And Potato Adult Dog Food,$46.99,$54.99,N/A,N/A,Adult,108987,True,Black Hawk Fish And Potato Adult Dog Food - 3kg,Dry Food,Black Hawk,,3kg,Adult,Fish,No,Premium,No,Member price,False,,Total Wellbeing,
111105,black-hawk-fish-&-potato-adult-dog-food,127960,Black Hawk Fish And Potato Adult Dog Food,$140.99,$189.99,N/A,N/A,Adult,108981,True,Black Hawk Fish And Potato Adult Dog Food - 20kg,Dry Food,Black Hawk,,20kg,Adult,Fish,No,Premium,No,Member price,False,,Total Wellbeing,
111105,black-hawk-fish-&-potato-adult-dog-food,501600,Black Hawk Fish And Potato Adult Dog Food,$112.99,$132.99,N/A,N/A,Adult,116724,True,Black Hawk Fish & Potato Dog Food 10kg,Dry Food,Black Hawk,,10kg,Adult,Fish,No,Premium,No,Member price,False,,Total Wellbeing,
130413,140587,,Wahl Grind & Smooth Battery Dog Nail Grinder 2 Speed,,45.74,N/A,N/A,,,,,,,,,,,,,,,,,,
113172,ivory-coat-grain-free-ocean-fish-&-salm-adult-dog-food,135614,Ivory Coat Grain Free Ocean Fish & Salmon Adult Dog Food,$117.05,$149.99,70%,2,Adult,93126,True,Ivory Coat Grain Free Ocean Fish & Salmon Adult Dog Food 13kg,Dry Food,Ivory Coat,,13kg,Adult,Fish,No,Superior,Yes,Member price,False,All,Grain Free,
113172,ivory-coat-grain-free-ocean-fish-&-salm-adult-dog-food,135622,Ivory Coat Grain Free Ocean Fish & Salmon Adult Dog Food,$36.54,$42.99,70%,2,Adult,93306,True,Ivory Coat Grain Free Ocean Fish & Salmon Adult Dog Food 2kg,Dry Food,Ivory Coat,,2kg,Adult,Fish,No,Superior,Yes,Member price,False,All,Grain Free,
112542,royal-canin-medium-breed-puppy-food,30523,Royal Canin Medium Breed Puppy Food,$59.80,$70.99,N/A,N/A,Puppy,61605,True,Royal Canin Medium Puppy Dog Food 4kg,Dry Food,ROYAL CANIN,,4kg,Puppy,Chicken,No,Superior,No,Member price,False,Medium,Growth Support,Sale
112542,royal-canin-medium-breed-puppy-food,30308,Royal Canin Medium Breed Puppy Food,$139.27,$190.99,N/A,N/A,Puppy,61914,True,Royal Canin Medium Puppy Dog Food 15kg,Dry Food,ROYAL CANIN,,15kg,Puppy,Chicken,No,Superior,No,Member price,False,Medium,Growth Support,Sale
112542,royal-canin-medium-breed-puppy-food,140246,Royal Canin Medium Breed Puppy Food,$18.69,$22.99,N/A,N/A,Puppy,123765,True,Royal Canin Medium Breed Puppy Food 1kg,Dry Food,ROYAL CANIN,,1kg,Puppy,Chicken,No,Superior,No,Member price,False,Medium,Healthy Development,Sale
95997,133076,,Prime100 Kangaroo & Pumpkin Cooked Dog Roll 2kg,,22.99,N/A,N/A,Adult,,,,,,,,,,,,,,,,,
74805,113968,,Royal Canin Golden Retriever Dog Food 12kg,,162.99,100%,1,Adult:Senior,,,,,,,,,,,,,,,,,
90246,131676,,Bravecto Chew for Small Dogs 3 month pack - 4.5 to 10kg,,75.99,100%,1,All,,,,,,,,,,,,,,,,,
111705,all-for-paws-chill-out-dog-cool-mat-blue,,All For Paws Chill Out Dog Cool Mat,,69.99,N/A,N/A,All,,,,,,,,,,,,,,,,,
167203,142312,,All Day Orthopaedic Rectangle Dog Basket Grey XL 102x76x23cm,,129.99,100%,1,Adult:All:Senior,,,,,,,,,,,,,,,,,
145032,advance-medium-breed-chicken-&-rice-adult-dog-food,25721,Advance Chicken Adult Dog Food,$114.99,$153.99,N/A,N/A,Adult,109788,True,Advance Chicken Adult Dog Food 15kg,Dry Food,Advance,,15kg,Adult,Chicken,No,Superior,No,Member price,False,,,
145032,advance-medium-breed-chicken-&-rice-adult-dog-food,25196,Advance Chicken Adult Dog Food,$37.81,$48.99,N/A,N/A,Adult,109785,True,Advance Chicken Adult Dog Food 3kg,Dry Food,Advance,,3kg,Adult,Chicken,No,Superior,No,Member price,False,,,
114909,royal-canin-mini-breed-puppy-food,121906,Royal Canin Mini Junior Dog Food,$37.43,$43.99,N/A,N/A,Puppy,91632,True,Royal Canin Mini Puppy Food 2kg,Dry Food,ROYAL CANIN,,2kg,Puppy,Chicken,No,Superior,No,Member price,False,"Small, Toy",Growth Support,Sale
114909,royal-canin-mini-breed-puppy-food,121907,Royal Canin Mini Junior Dog Food,$101.88,$123.99,N/A,N/A,Puppy,92376,True,Royal Canin Mini Puppy Food 8kg,Dry Food,ROYAL CANIN,,8kg,Puppy,Chicken,No,Superior,No,Member price,False,"Small, Toy",Growth Support,Sale
114909,royal-canin-mini-breed-puppy-food,140223,Royal Canin Mini Junior Dog Food,$64.20,$73.99,N/A,N/A,Puppy,132432,True,Royal Canin Mini Puppy Food 4kg,Dry Food,ROYAL CANIN,,4kg,Puppy,Chicken,No,Superior,No,Member price,False,Small,Growth Support,Sale
114909,royal-canin-mini-breed-puppy-food,140244,Royal Canin Mini Junior Dog Food,$17.09,$18.99,N/A,N/A,Puppy,130515,True,Royal Canin Mini Puppy Food 800g,Dry Food,ROYAL CANIN,,800g,Puppy,Chicken,No,Superior,No,Member price,False,Small,Growth Support,Sale
93009,135919,,Prime100 Turkey & Flaxseed Cooked Dog Roll 2kg,,18.99,N/A,N/A,Adult:Senior,,,,,,,,,,,,,,,,,
97218,133077,,Prime100 Chicken & Brown Rice Cooked Dog Roll 2kg,,20.99,100%,1,Adult:All:Senior,,,,,,,,,,,,,,,,,
106914,137386,,Royal Canin Mini Breed Junior Puppy Pouch 85gx12,,37.99,N/A,N/A,Puppy,,,,,,,,,,,,,,,,,
111219,leaps-&-bounds-chicken-&-fish-adult-dog-food,3214918,Leaps & Bounds Chicken & White Fish with Rice Adult Dog Food,$21.32,$23.99,N/A,N/A,Adult,59457,True,Leaps & Bounds Chicken & White Fish with Rice Adult Dog Food - 3.2kg,Dry Food,Leaps & Bounds,,3.2kg,Adult,Chicken,No,Essential,No,Member price,False,,Natural,Sale
111219,leaps-&-bounds-chicken-&-fish-adult-dog-food,3214919,Leaps & Bounds Chicken & White Fish with Rice Adult Dog Food,$64.99,$79.99,N/A,N/A,Adult,59334,True,Leaps & Bounds Chicken & White Fish with Rice Adult Dog Food - 15kg,Dry Food,Leaps & Bounds,,15kg,Adult,Chicken,No,Essential,No,Member price,False,,Natural,
113589,ivory-coat-grain-free-chk-&-coco-oil-adult-dog-food,135617,Ivory Coat Grain Free Chicken Adult Dog Food,$31.49,$36.99,N/A,N/A,Adult,78552,True,Ivory Coat Grain Free Chicken Adult Dog Food 2kg,Dry Food,Ivory Coat,,2kg,Adult,Chicken,No,Superior,No,Member price,False,All,Grain Free,
113589,ivory-coat-grain-free-chk-&-coco-oil-adult-dog-food,135609,Ivory Coat Grain Free Chicken Adult Dog Food,$112.99,$139.99,N/A,N/A,Adult,175276,True,Ivory Coat Grain Free Chicken Adult Dog Food 13kg,Dry Food,Ivory Coat,,13kg,Adult,Chicken,No,Superior,No,Member price,False,All,Grain Free,
114981,ziwipeak-air-dried-chicken-adult-dog-food,136792,Ziwi Peak Air Dried Chicken Adult Dog Food,$238.99,$286.99,100%,1,Adult,87888,True,Ziwi Peak Air Dried Chicken Adult Dog Food 4kg,Dry Food,Ziwi Peak,,4kg,Adult,Chicken,No,Superior,No,Member price,False,All,"Grain Free, Natural",
114981,ziwipeak-air-dried-chicken-adult-dog-food,136793,Ziwi Peak Air Dried Chicken Adult Dog Food,$154.99,$178.99,100%,1,Adult,89463,True,Ziwi Peak Air Dried Chicken Adult Dog Food 2.5kg,Dry Food,Ziwi Peak,,2.5kg,Adult,Chicken,No,Superior,No,Member price,False,All,Grain Free,
114981,ziwipeak-air-dried-chicken-adult-dog-food,136794,Ziwi Peak Air Dried Chicken Adult Dog Food,$72.99,$81.99,100%,1,Adult,89841,True,Ziwi Peak Air Dried Chicken Adult Dog Food 1kg,Dry Food,Ziwi Peak,,1kg,Adult,Chicken,No,Superior,No,Member price,False,All,Grain Free,
114981,ziwipeak-air-dried-chicken-adult-dog-food,136795,Ziwi Peak Air Dried Chicken Adult Dog Food,$40.99,$45.99,100%,1,Adult,90099,True,Ziwi Peak Air Dried Chicken Adult Dog Food 454g,Dry Food,Ziwi Peak,,454g,Adult,Chicken,No,Superior,No,Member price,False,All,Grain Free,
78282,135937,,Earth Rated Eco Dog Waste Bags Unscented 120 Pack,,8.50,N/A,N/A,,,,,,,,,,,,,,,,,,
93201,133293,,Royal Canin Veterinary Hypoallergenic Adult Dog Food 14kg,,255.99,100%,1,Adult,,,,,,,,,,,,,,,,,
76239,131677,,Bravecto Chew for Medium Dogs 3 month pack - 10 to 20kg,,77.99,100%,2,All,,,,,,,,,,,,,,,,,
116484,98510,,Advance Chicken Large Breed Adult Dog Food - 15kg,,161.99,80%,2,Adult,,,,,,,,,,,,,,,,,
