Product_Name,Total_Rating,Total_Reviews,5 star,4 star,3 star,1 star,2 star,Quality,Value,PetSatisfaction
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.822085889570552,326,289,25,6,3,3,4.8125,4.390134529147982,4.81858407079646
Freshpet® Vital™Balanced Nutrition Chicken Adult Dog Food,4.753753753753754,333,293,20,7,9,4,4.752,4.518218623481781,4.770161290322581
Freshpet® Vital™ Grain Free Complete Meals Small Breed Chicken All Life Stage Dog Food,4.75,168,143,15,5,2,3,4.7935483870967746,4.454545454545454,4.720779220779221
Freshpet® Vital™ Fresh Cuts All Life Stage Dog Food - Chicken,4.695121951219512,164,140,10,6,4,4,4.75,4.321428571428571,4.76595744680851
"Freshpet® Vital™ Grain Free Complete Meals Chicken, Beef, Salmon & Egg Adult Dog Food",4.6380952380952385,105,87,10,2,6,,4.658823529411765,4.211764705882353,4.595238095238095
Freshpet® Vital ™ Grain Free Small Breed All Life Stage Dog Food,4.88,100,93,5,,1,1,4.872340425531915,4.617021276595745,4.851063829787234
Freshpet® Vital™Balanced NutritionTurkey Adult Dog Food,4.813084112149533,107,96,7,1,2,1,4.708860759493671,4.5625,4.755813953488372
Freshpet® Vital™Grain Free Turkey Adult Dog Food,4.784810126582278,79,71,5,,3,,4.769230769230769,4.59375,4.870967741935484
Freshpet® Vital™Grain Free Salmon & Ocean Whitefish Adult Dog Food,4.662337662337662,77,67,2,3,3,2,4.66,4.66,4.509090909090909
Dog Nation(r) Fresh Adult Dog Treat - Chicken,4.763636363636364,55,48,5,,2,,4.702127659574468,4.630434782608695,4.787234042553192
Freshpet® Vital™ Grain Free Complete Meals Beef with Lamb Adult Dog Food,4.722222222222222,54,47,3,2,2,,4.75,4.194444444444445,4.777777777777778
Dog Nation® Fresh Adult Dog Treat - Bacon,5.0,47,47,,,,,4.95,4.625,5.0
"Freshpet® Vital™Grain Free Chicken, Beef, Salmon & Egg Adult Dog Food",4.881578947368421,76,71,3,1,1,,4.795918367346939,4.5,4.829787234042553
"Freshpet® Homestyle Creations All Life Stage Dog Food - Fresh, Chicken & Turkey",4.676056338028169,71,59,7,2,3,,4.676470588235294,4.4411764705882355,4.661764705882353
Freshpet® Vital™ Grain Free Puppy Food,4.65625,64,56,2,1,3,2,4.779661016949152,4.396551724137931,4.8474576271186445
"Freshpet® Homestyle Creations All Life Stage Dog Food - Fresh, Beef, Chicken & Turkey",4.509803921568627,51,39,7,1,4,,4.44,4.326530612244898,4.469387755102041
Freshpet Vital Complete Meal All Life Stage Dog Food - Chicken,4.676470588235294,34,27,3,4,,,4.787878787878788,4.3125,4.818181818181818
Freshpet® Vital™ Grain Free Chicken All Life Stage Dog Food,4.785714285714286,42,33,9,,,,4.875,4.4,4.875
Freshpet® Nature's Fresh With-Grains Beef All Life Stage Dog Food,4.8,85,72,9,4,,,4.808219178082192,4.52054794520548,4.861111111111111
Freshpet Homestyle Creations All Life Stage Fresh Dog Food - Beef,4.0,15,9,2,1,2,1,3.769230769230769,3.4615384615384617,3.4615384615384617
Freshpet® Nature's Fresh Grain Free Chicken All Life Stage Dog Food,4.583333333333333,36,31,1,1,3,,4.4,4.12,4.4
Freshpet® Spring & Sprout™ All Life Stage Fresh Dog Food - Plant-Based Protein & Cage-Free Egg,5.0,6,6,,,,,5.0,4.2,5.0
"Freshpet Nature's Fresh Small Breed All Life Stage Dog Food - Grain Free, Chicken",4.571428571428571,7,6,,,,1,3.0,5.0,3.5
"Freshpet® Nature's Fresh All Life Stage Dog Food - With-Grain, Chicken",4.909090909090909,11,10,1,,,,5.0,4.0,3.5
Freshpet Homestyle Creations All Life Stage Fresh Dog Food - Chicken,4.2368421052631575,38,27,4,1,5,1,4.15625,4.0625,4.21875
"Freshpet Nature's Fresh All Life Stage Dog Food - Grain Free, Turkey",5.0,13,13,,,,,,,
Freshpet Nature's Fresh All Life Stage Dog Food - Chicken,4.7,10,9,,,,1,2.0,1.0,1.0
